,id,content,location_traffic_convenience,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation,others_overall_experience,others_willing_to_consume_again
2010,2010,"""一直看到这家号称米其林开过来的店，终于过来尝尝看。店铺装修很有意思，多用朱红、明黄两色，灯是宫灯的那种制式，颇有古风。桌椅摆的不紧密，这是我喜欢的，菜单简陋了点，现今都是一张纸，菜样全凭理解和想象。点了招牌的咕噜肉和椒盐猪手，因为喜欢原材料又点了雪菜毛豆炒千张和招牌锅贴。咕噜肉肉质精良，外酥里嫩，酸甜平衡，就是稍一凉就没那么酥脆了。猪手简直每桌都点，很大只，服务员帮忙分成小块，蛮体贴，其实样子还是整只拍照好看些。上面撒着葱末、辣椒碎、蒜末，混着味道更好吃。锅贴具有小笼包特质，一咬汁水飙出去，味道不错。那个雪菜毛豆很一般，火候过了像吃糊菜。整体不错，部长训练有素，下次尝尝其他招牌菜。""",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,1,1,1,1,-2,-2,1,1
2011,2011,"""这家烤肉店历史真滴是很久啦，俺公公还没退休时就经常来啦，所以推荐我们来，这种馆子就是北京人喜欢的脏兮兮大声讲话没人注意夏天又可以光膀子的苍蝇馆子，吃的就是个顺口儿随意劲儿。肉味道偏咸，量还可以，去的早也没等位，凉菜做的一般般，麻豆腐也还可以吧，就是这个篦子烤一会就全沾上了，店家也没个小铲子而且也不换烤盘，我们只能在焦了的篦子上接着烤。整体感觉没有黄化门那家好吃，但其实好吃不好吃是一回事，北京人是习惯问题，习惯了去一家就总去，因为是记忆的味道。""",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,1,0,-2,-2,0,-2
2012,2012,"""这次特意找过去的 总想去 不是路过就是没机会 凯宾斯基饭店的名气在 所以显得很高大上的面包房Kempi Deli 蛋糕口味一般 不如王太家私房甜品 在面包房点的草莓派、梨味焦糖、热美式、热拿铁 带回来一份黑森林和梨味焦糖 带回家的这份口感不如在店里吃的好吃 这很考验一款甜品的做工 到家后两款蛋糕已经“懈怠” 黑森林是招牌 有一种说不出的味道 酸酸的 味道很“轻” 糕体特别宣、软 不知为啥算得上是招牌 梨味焦糖还是店里的味道 给个很中肯的评价 下次想尝尝面包 蛋糕卖的非常快 一眨眼的功夫一整个蛋糕就会卖空 草莓系列的都还可以 草莓和酱结合 味道...不知道应该怎么形容～ 特意去的话 没有必要 如果是住店的 随便去那里歇个脚 还是个非常不错的决定的""",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,1
2013,2013,"""位置挺好找的，一上美食广场二楼就可以看到，去的时候挺多人在吃了~点了个双人套餐，量挺多，有芝士年糕火锅，一份饭，一份泡菜，一份薯条，还有水果。饭不怎么好吃，没什么味道就有一点辣味，泡菜又辣又咸，薯条还可以，水果是水果罐头来的，不过还挺好吃的。还是芝士年糕火锅比较好吃有包菜，火腿，牛肉，番薯，胡萝卜还有鸡蛋。。。。芝士味很浓郁，店家推荐的拉面很不错，年糕越煮越有味道~店员服务态度挺好，上菜速度快，整体还不错~""",-2,1,1,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,1,-2
2014,2014,"""在凯德天府这个窝子还是有点时间了，但是这儿还是第一次来南城别院。之前看到它默默的营业，相当低调以为是高格调的藏品店，后来晓得是家装修华丽的川菜店，我还是没进去。我一贯讲求吃个味道，开在商场装修成这样，简直担心川菜吃出海鲜价。那天又在dp狂搜吃个撒，就看到推荐别院团购了。看dp众人说被它的豪华装修和亲民的菜单惊呆。我也忍不住好奇来了。别院整个环境比较暗，更私密，装修很精致。老板挺有心的。但是有点不如意的确实他们的碗盘好多缺口。。太不搭了。。服务员不灵活，可以再培训下。桌上无纸巾都不得主动拿上来。。说菜，团购的2-4人餐。【干锅花菜】味道很不错，猪油香，这个吃的比较快。【别院青椒鸡】很不错。青椒，青花椒，藕丁佐料主料。整个菜麻麻的，鸡丁煸入味了的。这个推荐。【蒜泥白肉】尝了一片，基本没动。一点都不好吃。属于难吃行列。看dp之前说这道菜还可以。但是不晓得是我吃那天师傅发挥不好还是都这个味道，刀工可以，但是肉质偏老，淋的料百米白眼的味道。除了蒜和红油真心没尝出其它。【豆瓣鱼】很一般，其实很多四川家庭出来的味道都比这个好吃。例汤是白萝卜玉米排骨汤，这个汤很入味了。其它凉菜就不说了。整体来说，好坏参半。下次还会来感受其它菜的""",-2,1,-2,-2,0,-2,-2,-2,-2,0,1,1,1,1,-2,0,-2,-2,0,1
2015,2015,"""在他们家吃饭让人很不舒服，进屋坐下后等了小一会也没看到菜单，叫了两声服务员也没人理，最后很大声的招呼服务员才拿来菜单，无视顾客，服务员的态度像是我们欠他钱了似得，这服务也是醉了 看别桌点的牛魔王原来就是水煮牛杂，所以没点那道菜，晚饭想吃点清淡的点了一个黄瓜，朋友来点了一个水煮肉片，黄瓜上来油好大，打死卖油的了，（可能油太大了，我们一行人回去集体蹲厕所拉肚）口味并没什么特色，只是油大的普通家常菜的感觉，食物总体味道一般，绝对不能说好吃，只是一般，菜品服务和价钱极其不成正比。只是店家把普通家常菜换了一个名字而已。 绝对不是故意差评，只是针对服务和菜品实话实说。（他们家和我们在北京吃的那家小馆不是一家，店家只是借了名字而已） 真是特别好奇，那么多5星评价从何而来""",-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,0,0,-2,0,-1,-2
2016,2016,"""第二次来了，学生卡九折，因为以前点评店家回复，这次送一个特色菜，选了糯米鸡。
#清汤抄手#  还是不能吃辣，选的这个，汤真真棒~抄手味道也好~
#红油水饺#  这也是必点，特别家常的味道，舒服，辣椒是香辣，我妈也爱吃
#虾仁烧卖#  这个真是太棒，各个都有鲜虾，还不占肚子，没有负担
#小笼牛肉#  香！还便宜！关键好看！
#醪糟汤圆#  太好吃了，两个根本不够哇~~吃完甜的辣的来个解腻的，非常利口~
#荷叶糯米鸡#  这个是送的，有点像粽子，吃到了板栗很惊喜~""",-2,-2,-2,-2,-2,-2,-2,1,-2,0,-2,-2,-2,-2,-2,1,1,-2,1,-2
2017,2017,"""真是幸运没想到抽中""聚会试吃""4月28日好伦哥98经典餐厅，感谢餐厅组织这样的推广活动，感谢大众点评。餐厅地处繁华的东大桥路口，这里交通方便，夜色降临时周边街景，灯火阑珊、热闹非凡。餐厅在春平广场二楼，进店上楼来，眼前一亮，店面餐厅和餐台装饰布置都是以海洋或海鲜为主题，色彩艳丽，灯光设计以蓝色为主基调。走马观花看一看，整体规划大改变，规模大、品种多，有鲜活海味、冰鲜食品、冷菜、热菜、铁板烧、生烤台、水果沙拉、甜品、冰激凌、酒水饮料、巴西式烧烤以及各式比萨。海鲜可以自己去挑喜欢吃的装框拿给厨师，现场炒制。真是有创意、时尚与时俱进，彻底颠覆了以前对好伦哥的印象。
这次试吃活动有餐厅市场部经理亲临现场，厨师长亲自为各位客人介绍了十几道菜品，让我们了解的更多。
首先是刺身拼盘华丽上场，摆拼有三文鱼、金枪鱼、鲷鱼和素鲍鱼等等，生鱼片新鲜，沾上些许绿介辣酱汁既可，原汁原味的鲜美伴随着酱汁的溶和，口感软滑的肉质，享用了！
泡椒红虾冰鲜红润，据介绍这是一道创新菜品，红虾带着泡椒的清香鲜辣，略微有点辣，虾肉Q弹，口味很特别。
蒜蓉烤生蚝，火候恰到好处，蒜香衬托着蚝肉的鲜嫩，吃了几个还不够，营养食材。
芝士焗鲍鱼，把鱼鲜和奶香完美结合，鲜香味美，隆重推荐！
酱香猪蹄，这个菜是备受推崇的菜品，在体会酱香的同时补充胶原蛋白，口福美容一举两得。
海鲜大拌菜，以什锦海鲜为主的菜品，搭配一些生鲜蔬菜，加上韩式酱汁和介辣拌匀，这样吃好特别的感觉。
烤多宝鱼，直接生烤的鲜香，锡纸包裹烤制的肉质相对软嫩，比较起来更喜欢吃直接生烤的，带着烤肉的香气。
冰鲜秋葵，冰凉、滑爽和脆嫩的口感，去腥解腻 ，富含营养，是鱼和肉最好搭档。
馋嘴牛蛙上了满满的一大盆，看着几乎全是牛蛙肉。
还有难得一见的蒜蓉天鹅蛋也不错。
比萨是好伦哥的长项，烤好的比萨能拉出很长的丝，据介绍他家芝士是新西兰进口的，品质很好，品尝一下口味正宗地道。芝士原味的奶香浓郁，榴莲味的比萨诱人的榴莲加上芝士的奶香好吃得停不住嘴。
厨师长介绍的有几道菜我没有品尝到，很遗憾。
由于聚会聊天沟通加上拍照等，有很多菜品没有时间一一品尝，只好等下次再来。""",1,1,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,-2,1,1,1
2018,2018,"""装修很有特色的一家杭帮菜餐厅，发现杭帮菜的装修风格都差不多的，菜品上相似度也极高，我们订的包房，结果到了一看什么包房啊，就是和其他的位置有个隔断罢了。这家的蔬菜烧的都很入味，很好吃，尤其炖萝卜很香，本来想尝试神仙鸡的，但是去的时候说都卖完了，只能改椒麻鸡，这个几乎每桌都有。我最喜欢的还是这里的酸梅汤，里面放了话梅酸甜可口，在天气热的时候喝很合适。不过估计是饭店生意太好的关系，服务员的服务不到位，要点什么东西要很久，而且经常上错菜。""",-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,0,0,0,0,-2,1,-2,-2,0,-2
2019,2019,"""最爱久久丫，怎么吃都吃不腻。这家店就在车站旁边，四川路商业中心。店很小，但五脏俱全。平时去上班时遇过都会买一点吃吃，有时会带回家孝敬老爸老妈。当然给他们买不辣的吃，老年人比年青人注重养身呀。喜欢他家的鸭头，鸭脖，鸭舌。一般选微辣。可能是直营店吧，他家的店内工作人员服务态度很好。大众搞一些团购活动力度比较大时，会主动提醒用户用团购券比较划算。目前只有45元团50元的券了，希望下次能搞一些力度再大一点的活动。""",1,1,-2,-2,1,-2,-2,-2,-2,0,-2,-2,-1,-2,-2,-2,-2,-2,1,-2
2020,2020,"""这家近期新装修过了，门改成了朝南方向的，装修后真的超有感觉，比以前潮了不少。晚上来的，吃的人还挺多的，生意看上去比原来好。菜单除了原来的还加了一张新菜单，有韩式炒年糕啥的。两个人吃了最爱的番茄肥牛火锅还有手撕包菜。感觉口味比以前精进了不少，以前一直觉的花园中学那边的歌顿最好吃，这次吃了这家的，感觉也非常好。另外，服务人员态度也比之前好很多，会注意帮顾客添水什么的。哥顿是兴化的老牌咖啡馆了，真的不错。会经常去的。""",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,1,1
2021,2021,"""大众点评抽中的活动，最近还挺幸运的说，抽中了这个会所的试吃，终于高大上了一回！！一进去感觉人不多，据老板说以前是走私密式会所风格，专门招待政府官员和土豪的呀，所以知名度不高，但是我一听是这样就对这里的菜充满了期待！老板很热情，专门陪我们吃饭，边吃边介绍，还给我们专门安排了包厢。整整一大桌子菜我就不一一说了，就写几个我映象深刻，个人比较喜欢的菜吧！冷菜里不得不说的就是蚕豆酥，名副其实口感酥酥的，就算是老年人吃起来也不费力。这家的蚕豆都是自己买了自己处理，还加了瑶柱，秘制配好，难怪特别好吃，绝对是必点的一道菜，还有人打趣说太好吃了要打包呢！石斑鱼我本身喜欢吃，这家的鱼很新鲜，吃起来肉质很紧实，清蒸的做法吃起来更原汁原味，只知道好吃了！！！不得不说我长见识的一道菜了，那就是自拆蟹粉狮子头啦！那是我长这么大以来吃过最大的狮子头了，堪称巨无霸。首先个头巨头吸引眼球，蟹粉都是自家处理干净新鲜，味道也鲜美呐，螃蟹的味道和肉味结合的恰到好处哦，请看图片料超足，强推！！因为快到吃羊肉的时节了，老板特意赠送一道羊血羊蛋汤给我们补身体哦，我对羊的食物比较挑剔，一定要处理的没有膻味才喜欢，这道汤很清单，清清爽爽的，第一次吃羊血口感挺好的，绝对比其他血好吃，羊蛋我就不说了，切成一片片的不说完全不知道哦，总之这道汤给我的感觉蛮惊艳的哦，下次去肯定点！菜品太多了我就写个总结吧，首先食材都很新鲜，做法都是基本是无锡本帮菜的口感，吃过了外面花花绿绿的新式饭店，还是回归这种华丽中也见朴实的饭店，才能真正吃到美食吧！以上都是个人拙见！""",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,1,1,1,1
2022,2022,"""公司就在陆家嘴～午餐时路过…本就喜欢吃沙拉的我忍不住和同事就去看了下！小店装修很干净…服务员很热情…冰箱里的小罐罐顿时吸引了我眼球…买了一款“浪漫斗牛士”…最下面有意面～上面有很多种蔬菜～最上面有大片黑胡椒牛肉和乳酪～关键是：摆放的超级好看…很有食欲感哦～配送的酱汁是用一个系列的小试管装着…又好看又好吃…好好玩！还送谷物面包！顺便还点了一杯“琥珀清”…看着服务员当场榨汁的…确实不加一点水哦…这点让我觉得这杯饮料很值！作为微胖界的我很负责任的告诉大家：午餐这样来一份…真的饱了！门口还摆放了花花草草…很惬意的感觉！下次一定尝尝其他几款！店员介绍微信扫码还可以立减10元…满50还能减8元…算下来这顿其实也就30几元…比快餐好吃多啦！老板多研发新品～多搞搞活动哦！""",-2,-2,-2,-2,1,-2,-2,1,1,1,1,-2,-2,-2,1,1,1,-2,1,-2
2023,2023,"""第一次去感觉环境很好，很幽静，虽然开的比较偏僻，但是有优惠券，性价比很高，所以还是蛮喜欢这里的。吃的东西选择也比较多，店家推荐的披萨，芝士超多，的确非常棒。老板还养了一条大狗，应该是金毛吧，很可爱很听话，为店增分不少。午后暖暖的阳光非常惬意，饮料也很有特色也比较多，感觉很好喝。食物量都是比较大的，吃的我们很满足很撑，但是价格却非常优惠，大受欢迎。店里还有老板做的展品，感觉像艺术品，很有特色。最近第二次去，大门关着，非常遗憾，下次去之前要先电话下。""",-1,-1,-1,-2,-2,-2,-2,-2,1,0,1,1,1,1,1,1,1,-2,1,1
2024,2024,"""朋友间说到宴遇，大家都呵呵的笑了，排队排到你想死，但是还是要等位的一家店。为了第一批吃到，我们几个姐妹淘真的是不惜一切了。晚上5点开始吃饭，托朋友打听说下午1:45开始发号码。好吧，拼了，1点就过去了。然后在晶品楼下找了一家甜品店坐着。等到1:45，闺蜜立马冲上楼拿好，这个时候已经拿的号码是32了。可见大家为了吃到这家店有多拼了吧。菜品总体来说还是比较精致的，不过量就不多了。毕竟人家是创意菜吗，哈哈。每道菜上来都看到别桌拿起手机一阵狂拍。我们也是不能落后，拍完再开动。如果不是每次都要等这么久的位置的话，会考虑再来哦。不然不会想再来第二次了。""",-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,0,0
2025,2025,"""很平价的一家店，开在日渐萧条门可罗雀的巴黎春天里面，到的时候已经有一半的上座率了。环境一般般吧，闷闷的感觉又潮又热。他家的烤鸡翅是招牌，许多人点，吃起来还好。烤肠里的薯角不好吃，应该是没给酱料吧，烤肠无功无过。点了个海鲜炒饭，吃了两口就弃了，做为炒饭也太难吃了点，但闺密点了个番茄海鲜利梭多饭味道却意外的好，特别赞。披萨点了一个玉米的和一个培根的，都是厚底，以这个价位来说味道已经很可以了。他家饮料加7块钱可以畅饮，有热鲜奶，咖啡和汽水，适合要求不高的人。因为点多了，最后实在吃不完，都打包带走了。总之性价比很高的一家店。""",-2,-2,-2,-2,-2,-2,-2,0,1,-2,0,0,0,0,-2,0,-2,-2,0,-2
2026,2026,"""店面不是太大，比较安静，座位上还有可爱的靠垫，坐着很舒服。
7点去的全满，但不用等很久，稍过一会就有位置。
价格便宜，味道也好，菜量比较适中。
玉米龙骨汤口味清淡，里面的玉米很嫩，非常适合晚上吃。
豆汁时蔬是黄豆和生菜，作为一个不爱吃黄豆的人都觉得好吃，同样比较清淡。
石锅龙利鱼（大概是叫这个），是招牌菜系列之一，里面除了鱼还有芹菜，春笋和一些其他的菜，味道还行，锅里还有两块石头。
米饭，茶水，一些饭前小零食是自取，每人3元。""",-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,1,0,-2,0,1,-2,-2,1,-2
2027,2027,"""逛完街，闺蜜建议晚饭到喵咪灰吃，听到这个名字，我还以为是一家烤鱼店(有一家店叫喵来了)，闺蜜连忙解释说是一家日本料理店。于是我们三位准备一起来尝尝鲜。喵咪灰位于宝龙外围商业区粤龙湾对面。店面还挺大，但可能店刚开，生意超好，所以我们到那排队等了半个多小时。轮到有地方坐(前台~做寿司前面)，我们赶紧点了三文鱼拼盘、炸鸡脆骨、烤生蚝、小明虾、腐皮芒果卷、法国鹅肝寿司、梅子酒等(店内猪颈肉和天夫罗炸虾可能太畅销，都售完了)，等了近半个小时上了菜，虽然帅气老板和漂亮老板娘安慰我们说菜快上了，但我们那个饿啊，哈哈。终于邻桌菜上全后，我们的菜也陆续上来，可能太饿或者菜上太慢，我们几乎是上一盘就消灭一盘，感觉除了炸鸡脆骨比较一般，其他的都挺好吃，特别是小明虾(虾很大，肉质鲜嫩，口感很好)和生蚝(蒜香四溢，肉质鲜美)我很喜欢，梅子酒也挺不错，就是我不大喝得习惯。3位女生共消费了250多rmb。感觉棒棒哒，吃后，很满足，如果菜可以上得更快些，那就更好了~^_^""",-2,1,-2,-1,1,-2,-1,0,-2,-2,-2,-2,1,-2,1,0,-2,-2,1,-2
2028,2028,"""辣牛肉很好吃，没记错的话应该是差不多20元一盘
石锅拌饭也很好吃，这个不贵，10几块钱
电烤羊肉串味道也很不错，就是价格微贵，貌似是8元一串

环境微差，共有2层，1层位子少，2层位子多一些，自己到柜台点餐，然后自己找位子坐 ；
羊肉串自己去交小票，自己靠脸拿肉串，囧 ；
 点餐的其他主食类食品，坐在位子上等服务员上菜，也没有单据在手，服务员凭直觉送，也囧 ；

没停车位；

门脸儿挺小的，不熟悉环境的要仔细找一下""",-2,-2,-1,-2,-1,0,-2,0,-2,-2,-1,-1,-1,-1,-2,1,-2,-2,0,-2
2029,2029,"""离单位挺近的一家店，看到点评有团购，就中午过来团购了一份手工芋圆单人餐，原价价9元，团购价6元，还是挺便宜的。
【位置】
店的位置在金花南路与咸宁西路十字南角，千家花园酒店隔壁，门头挺显眼，特别好找。
【环境】
店里空间不大，但空间充足，显得一点也不拥挤，环境不错，用绿色的植物装点，店里还有几套时尚桌椅，与店里的环境挺搭配，再这样的环境就餐，心情挺愉悦。
【出品】
手工芋圆四选一，选了仙草芋圆牛奶，一碗的量不大，仙草挺滑溜，芋圆比起鲜芋仙不算太Q,听老板说：芋圆是不加任何东西的，所以没有别家的Q弹，奶味挺浓又不甜腻，夏天吃一碗挺爽。
【服务】
服务态度不错，老板娘人挺漂亮，说话语气也挺柔和。
总的来说还是不错的一家小店，有时间还会再来吃的。""",-2,-2,1,-2,1,-2,-2,0,-2,1,1,1,1,1,0,0,-2,-2,1,1
2030,2030,"""在百度外卖上点了这家的外卖，菜的种类还挺多的，而且价格也合适，再者，百度外卖现在的活动还是很给力的。点了一个千叶豆腐烧肉，还有一个虎皮凤爪，整体味道都还不错，就是有点太油了，而且偏咸，千叶豆腐里面的肉是肥肉，个人是不怎么吃肥肉的人，所以不喜欢。虎皮凤爪是真的弄的挺不错的，就是不懂上面香菜的意思，你放点葱也比香菜好呀，and还希望少点辣椒籽，少点油。外卖配送费要5块钱，餐盒也要钱，所以即使用了14块的劵也花了11块。但是用劵后的价格也挺实惠的，希望店家越做越好。""",-2,-2,-2,-2,-2,-2,-2,0,-2,1,-2,-2,-2,-2,-2,0,-2,-2,1,-2
